halo_id,log10_Mvir,Mvir_Msol,c_NFW,Vvir_kms,Vmax_kms,phi_ana,phi_num,phi_corr,score_ana,score_num,score_corr,class_ana,class_num,class_corr,falso_escuro,recuperado,falso_estelar,delta_phi_num_pct,delta_phi_corr_pct,estrato
92,8.0445,1.1078e+08,30.627,6.9357,11.3206,-5.639820,-4.104100,-5.570460,1.211372,0.881516,1.196474,0,0,0,0,0,0,27.230,1.230,0
93,7.6692,4.6691e+07,34.042,5.2001,8.7745,-5.735040,-4.212346,-5.717708,1.231824,0.904766,1.228101,0,0,0,0,0,0,26.551,0.302,0
94,7.5715,3.7285e+07,21.504,4.8244,7.0812,-5.317259,-3.737071,-5.259837,1.142089,0.802682,1.129756,0,0,0,0,0,0,29.718,1.080,0
95,7.4523,2.8331e+07,20.998,4.4024,6.4177,-5.295491,-3.715861,-5.239864,1.137414,0.798126,1.125465,0,0,0,0,0,0,29.830,1.050,0
96,7.9454,8.8191e+07,29.872,6.4280,10.4109,-5.617210,-4.081486,-5.542087,1.206515,0.876659,1.190380,0,0,0,0,0,0,27.340,1.337,0
97,7.5427,3.4891e+07,17.116,4.7189,6.4975,-5.110371,-3.495643,-5.062272,1.097652,0.750826,1.087321,0,0,0,0,0,0,31.597,0.941,0
98,7.1315,1.3536e+07,19.875,3.4416,4.9391,-5.245421,-3.652846,-5.180326,1.126659,0.784591,1.112677,0,0,0,0,0,0,30.361,1.241,0
99,7.1770,1.5032e+07,29.033,3.5640,5.7216,-5.591329,-4.049854,-5.519604,1.200956,0.869864,1.185551,0,0,0,0,0,0,27.569,1.283,0
100,8.4428,2.7723e+08,16.629,9.4163,12.8647,-5.084519,-3.465030,-5.036767,1.092099,0.744251,1.081842,1,0,1,1,1,0,31.851,0.939,0
101,8.1787,1.5091e+08,10.122,7.6883,9.2905,-4.665174,-2.937351,-4.626079,1.002028,0.630911,0.993631,0,0,0,0,0,0,37.037,0.838,1
102,8.2880,1.9409e+08,25.839,8.3611,12.9551,-5.485129,-3.934582,-5.433431,1.178146,0.845105,1.167041,1,0,1,1,1,0,28.268,0.943,1
103,8.0923,1.2368e+08,24.888,7.1950,11.0237,-5.450851,-3.894644,-5.400318,1.170783,0.836527,1.159929,0,0,0,0,0,0,28.550,0.927,1
104,8.2674,1.8509e+08,24.366,8.2299,12.5298,-5.431453,-3.873124,-5.382337,1.166617,0.831905,1.156067,1,0,1,1,1,0,28.691,0.904,1
105,8.1321,1.3554e+08,18.743,7.4181,10.4722,-5.192191,-3.592371,-5.137819,1.115226,0.771602,1.103547,0,0,0,0,0,0,30.812,1.047,1
106,8.1158,1.3057e+08,18.881,7.3261,10.3637,-5.198874,-3.604610,-5.148094,1.116661,0.774231,1.105754,0,0,0,0,0,0,30.666,0.977,1
107,8.4478,2.8043e+08,13.045,9.4523,12.1273,-4.872339,-3.206641,-4.847202,1.046525,0.688751,1.041126,1,0,1,1,1,0,34.187,0.516,1
108,8.2020,1.5923e+08,24.487,7.8272,11.9343,-5.435984,-3.874741,-5.383362,1.167590,0.832252,1.156287,0,0,0,0,0,0,28.721,0.968,1
109,8.4896,3.0877e+08,16.954,9.7606,13.4049,-5.101840,-3.486549,-5.055059,1.095820,0.748873,1.085771,1,0,1,1,1,0,31.661,0.917,1
110,8.1586,1.4407e+08,14.086,7.5704,9.9024,-4.938312,-3.284449,-4.896684,1.060695,0.705464,1.051754,0,0,0,0,0,0,33.490,0.843,1
111,8.4317,2.7023e+08,15.233,9.3363,12.4619,-5.006715,-3.373724,-4.956953,1.075388,0.724639,1.064699,1,0,1,1,1,0,32.616,0.994,1
112,8.0970,1.2502e+08,20.444,7.2210,10.4465,-5.271152,-3.685714,-5.210720,1.132186,0.791651,1.119206,0,0,0,0,0,0,30.078,1.146,1
113,8.0503,1.1229e+08,17.178,6.9669,9.6022,-5.113602,-3.503666,-5.070040,1.098346,0.752549,1.088989,0,0,0,0,0,0,31.483,0.852,1
114,8.2220,1.6674e+08,25.965,7.9483,12.3334,-5.489563,-3.939904,-5.437949,1.179098,0.846248,1.168012,1,0,1,1,1,0,28.229,0.940,1
115,8.4536,2.8416e+08,14.149,9.4941,12.4327,-4.942153,-3.291380,-4.901973,1.061520,0.706952,1.052890,1,0,1,1,1,0,33.402,0.813,1
116,8.1332,1.3591e+08,19.945,7.4247,10.6661,-5.248639,-3.660753,-5.187022,1.127350,0.786290,1.114116,0,0,0,0,0,0,30.253,1.174,1
117,8.1641,1.4591e+08,24.730,7.6026,11.6261,-5.445040,-3.887101,-5.394062,1.169535,0.834907,1.158585,0,0,0,0,0,0,28.612,0.936,1
118,8.3608,2.2950e+08,12.344,8.8415,11.1907,-4.825740,-3.147117,-4.803610,1.036516,0.675966,1.031763,0,0,0,0,0,0,34.785,0.459,1
119,8.2008,1.5879e+08,17.944,7.8201,10.9074,-5.152838,-3.543866,-5.100400,1.106773,0.761184,1.095510,0,0,0,0,0,0,31.225,1.018,1
120,8.1057,1.2754e+08,14.678,7.2691,9.6094,-4.974147,-3.331919,-4.926323,1.068392,0.715660,1.058120,0,0,0,0,0,0,33.015,0.961,1
121,8.1055,1.2749e+08,17.596,7.2681,10.0833,-5.135219,-3.523953,-5.085132,1.102989,0.756907,1.092231,0,0,0,0,0,0,31.377,0.975,1
122,8.4014,2.5199e+08,12.347,9.1214,11.5457,-4.825949,-3.147458,-4.803894,1.036561,0.676040,1.031824,0,0,0,0,0,0,34.781,0.457,1
123,8.1622,1.4529e+08,12.254,7.5918,9.5919,-4.819606,-3.135550,-4.793938,1.035199,0.673482,1.029685,0,0,0,0,0,0,34.942,0.533,1
124,8.3702,2.3455e+08,13.944,8.9059,11.6192,-4.929517,-3.276133,-4.892559,1.058806,0.703678,1.050868,0,0,0,0,0,0,33.540,0.750,1
125,8.1403,1.3812e+08,13.225,7.4648,9.6100,-4.884014,-3.220650,-4.856497,1.049033,0.691760,1.043122,0,0,0,0,0,0,34.057,0.563,1
126,8.4754,2.9879e+08,16.274,9.6542,13.1137,-5.065283,-3.441108,-5.016377,1.087967,0.739112,1.077463,1,0,1,1,1,0,32.065,0.966,1
127,8.1379,1.3738e+08,19.243,7.4514,10.5970,-5.216082,-3.620297,-5.158024,1.120357,0.777600,1.107887,0,0,0,0,0,0,30.594,1.113,1
128,8.3345,2.1604e+08,19.874,8.6652,12.4355,-5.245399,-3.657364,-5.184905,1.126654,0.785562,1.113661,1,0,1,1,1,0,30.275,1.153,1
129,8.4761,2.9933e+08,22.536,9.6601,14.3731,-5.360066,-3.788968,-5.308304,1.151284,0.813829,1.140166,1,0,1,1,1,0,29.311,0.966,1
130,8.4648,2.9158e+08,13.815,9.5760,12.4642,-4.921528,-3.267562,-4.887601,1.057090,0.701837,1.049803,1,0,1,1,1,0,33.607,0.689,1
131,8.0376,1.0905e+08,22.269,6.8994,10.2299,-5.349162,-3.779398,-5.299595,1.148941,0.811773,1.138295,0,0,0,0,0,0,29.346,0.927,1
132,8.0056,1.0131e+08,20.116,6.7320,9.6944,-5.256412,-3.665363,-5.190567,1.129020,0.787280,1.114877,0,0,0,0,0,0,30.269,1.253,1
133,8.3747,2.3698e+08,21.373,8.9365,13.0939,-5.311671,-3.735408,-5.258545,1.140889,0.802325,1.129478,1,0,1,1,1,0,29.675,1.000,1
134,8.0185,1.0435e+08,18.853,6.7987,9.6134,-5.197497,-3.601725,-5.145488,1.116366,0.773611,1.105195,0,0,0,0,0,0,30.703,1.001,1
135,8.0397,1.0957e+08,13.728,6.9103,8.9800,-4.916036,-3.261053,-4.883595,1.055911,0.700439,1.048943,0,0,0,0,0,0,33.665,0.660,1
136,8.1752,1.4969e+08,17.303,7.6676,10.5888,-5.120093,-3.507796,-5.072296,1.099740,0.753436,1.089474,0,0,0,0,0,0,31.490,0.934,1
137,8.0075,1.0174e+08,20.125,6.7416,9.7094,-5.256799,-3.671773,-5.197098,1.129103,0.788657,1.116280,0,0,0,0,0,0,30.152,1.136,1
138,8.4945,3.1226e+08,19.185,9.7972,13.9212,-5.213331,-3.620778,-5.159464,1.119767,0.777704,1.108196,1,0,1,1,1,0,30.548,1.033,1
139,8.2669,1.8490e+08,15.215,8.2271,10.9780,-5.005697,-3.370328,-4.953354,1.075169,0.723910,1.063926,0,0,0,0,0,0,32.670,1.046,1
140,8.1080,1.2822e+08,13.461,7.2820,9.4164,-4.899166,-3.240025,-4.869748,1.052287,0.695922,1.045969,0,0,0,0,0,0,33.866,0.600,1
141,8.1190,1.3152e+08,25.889,7.3440,11.3857,-5.486888,-3.939422,-5.437858,1.178523,0.846145,1.167992,0,0,0,0,0,0,28.203,0.894,1
142,8.4316,2.7013e+08,19.536,9.3352,13.3324,-5.229806,-3.639301,-5.172455,1.123305,0.781682,1.110987,1,0,1,1,1,0,30.412,1.097,1
143,8.0651,1.1616e+08,16.509,7.0461,9.6077,-5.078028,-3.458722,-5.031709,1.090705,0.742896,1.080756,0,0,0,0,0,0,31.888,0.912,1
144,8.3221,2.0993e+08,13.190,8.5826,11.0419,-4.881798,-3.219197,-4.856105,1.048557,0.691448,1.043038,0,0,0,0,0,0,34.057,0.526,1
145,8.4387,2.7459e+08,18.498,9.3863,13.2023,-5.180281,-3.579287,-5.128245,1.112668,0.768792,1.101491,1,0,1,1,1,0,30.906,1.004,1
146,8.2147,1.6394e+08,16.949,7.9036,10.8537,-5.101587,-3.487845,-5.056325,1.095765,0.749151,1.086043,0,0,0,0,0,0,31.632,0.887,1
147,8.2526,1.7888e+08,19.368,8.1367,11.5926,-5.221967,-3.630492,-5.166321,1.121621,0.779790,1.109669,0,0,0,0,0,0,30.477,1.066,1
148,8.1109,1.2910e+08,19.403,7.2987,10.4038,-5.223570,-3.629497,-5.164926,1.121966,0.779576,1.109370,0,0,0,0,0,0,30.517,1.123,1
149,8.1422,1.3873e+08,17.470,7.4758,10.3511,-5.128759,-3.519720,-5.082258,1.101601,0.755997,1.091613,0,0,0,0,0,0,31.373,0.907,1
150,8.3476,2.2263e+08,17.675,8.7524,12.1574,-5.139250,-3.532911,-5.092980,1.103855,0.758831,1.093916,1,0,1,1,1,0,31.256,0.900,1
151,8.1960,1.5702e+08,23.729,7.7909,11.7688,-5.407257,-3.845536,-5.358670,1.161420,0.825979,1.150984,0,0,0,0,0,0,28.882,0.899,1
152,8.0052,1.0121e+08,17.156,6.7298,9.2722,-5.112460,-3.498420,-5.064613,1.098101,0.751422,1.087824,0,0,0,0,0,0,31.571,0.936,1
153,8.4160,2.6061e+08,21.596,9.2242,13.5560,-5.321133,-3.742186,-5.264691,1.142921,0.803781,1.130798,1,0,1,1,1,0,29.673,1.061,1
154,8.3036,2.0118e+08,18.957,8.4617,11.9834,-5.202493,-3.607148,-5.149363,1.117439,0.774776,1.106027,0,0,0,0,0,0,30.665,1.021,1
155,8.4087,2.5628e+08,15.933,9.1728,12.3896,-5.046463,-3.417727,-4.995762,1.083925,0.734090,1.073035,1,0,1,1,1,0,32.275,1.005,1
156,8.3037,2.0126e+08,16.876,8.4628,11.6081,-5.097721,-3.483440,-5.052752,1.094935,0.748205,1.085276,0,0,0,0,0,0,31.667,0.882,1
157,8.1587,1.4413e+08,24.334,7.5715,11.5230,-5.430268,-3.872840,-5.382577,1.166362,0.831844,1.156119,0,0,0,0,0,0,28.680,0.878,1
158,8.1279,1.3425e+08,23.043,7.3944,11.0739,-5.380433,-3.810672,-5.327431,1.155658,0.818491,1.144274,0,0,0,0,0,0,29.175,0.985,1
