# Estudos de robustez suplementares — gerados automaticamente

[ambiente_execucao]
data_execucao,2026-07-08T19:37:08
sistema,Windows
release,11
maquina,AMD64
processador,AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD
python,3.13.0
numpy,2.2.2
n_cpus_logicos,12

[convergencia_M_sub]
M_sub,erro_central_pct,erro_reval_pct,tempo_s
2,28.4968,35.7418,0.0210
4,30.8791,36.3616,0.0397
8,31.5098,36.5210,0.1065
16,31.5484,36.5232,0.6906

[sensibilidade_L_caixa]
L_rvir,erro_reval_pct
2.0,36.3616
3.0,69.3270
4.0,82.6949

[sensibilidade_phi_ref]
# halo de teste: c=8.0, phi_halo=-4.4926
c_ref,phi_ref,score,classificado_estelar
5.0,-4.2305,1.0620,1
10.0,-4.6557,0.9650,1
15.0,-4.9932,0.8998,1
20.0,-5.2511,0.8556,1
30.0,-5.6211,0.7992,0

[projecao_escalabilidade]
# expoente ajustado p=3.757 (N^3 teórico assumiria p=3.00)
N,tempo_medido_s_ou_projetado
32,0.1050
64,2.2483
128,19.1890
256,302.4184 (projetado)

N,custo_total_projetado_min
32,1.05
64,22.48
128,191.89
256,3024.18
